snapshot_date,brand,model,mechanic,retail_usd,credit_usd,monthly_high_usd,monthly_mid_usd,monthly_low_usd,on_us_high,on_us_mid,on_us_low,plan,line_action,trade_in_required,any_condition,tiv,term_months,headline,source_url,confidence
2026-08-18,Samsung,Galaxy A17 5G,EIP,249.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $250. Save $250.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a17-5g/,High
2026-08-18,Samsung,Galaxy A36 5G,EIP,399.99,250.0,4.17,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a36-5g/,High
2026-08-18,Samsung,Galaxy A36 5G (Certified Pre-Owned),EIP,235.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a36-5g-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy A37 5G,EIP,449.99,450.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $450. Save $450.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a37-5g/,High
2026-08-18,Samsung,Galaxy A42 5G,EIP,359.99,250.0,3.05,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a42-5g/,High
2026-08-18,Samsung,Galaxy A54 5G,EIP,499.99,250.0,6.94,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-a54-5g/,High
2026-08-18,Samsung,Galaxy S22,EIP,699.99,250.0,12.5,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s22/,High
2026-08-18,Samsung,Galaxy S23 (Certified Pre-Owned),EIP,215.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s23-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S23 FE (Certified Pre-Owned),EIP,225.99,250.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s23-fe-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S23 Ultra (Certified Pre-Owned),EIP,514.99,514.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $514.99. Online only. Save $514.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s23-ultra-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S23+ (Certified Pre-Owned),EIP,297.99,297.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $297.99. Online only. Save $297.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s23-plus-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S24 (Certified Pre-Owned),EIP,385.99,385.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $385.99. Online only. Save $385.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s24-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S24 FE (Certified Pre-Owned),EIP,286.99,286.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $286.99. Online only. Save $286.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s24-fe-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S24 Ultra,EIP,1419.99,250.0,32.5,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s24-ultra/,High
2026-08-18,Samsung,Galaxy S24 Ultra (Certified Pre-Owned),EIP,491.99,491.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $491.99. Online only. Save $491.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s24-ultra-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S24+,EIP,999.99,250.0,20.83,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s24-plus/,High
2026-08-18,Samsung,Galaxy S24+ (Certified Pre-Owned),EIP,489.99,489.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $489.99. Online only. Save $489.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s24-plus-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S25,EIP,799.99,800.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $800. Save $800.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25/,High
2026-08-18,Samsung,Galaxy S25 (Certified Pre-Owned),EIP,436.99,436.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $436.99. Online only. Save $436.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S25 Edge,Trade-in,1099.99,1100.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,True,False,,36,Trade in and save up to $1100. Trade in and save up to $1100.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25-edge/,High
2026-08-18,Samsung,Galaxy S25 Edge (Certified Pre-Owned),EIP,476.99,476.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $476.99. Online only. Save $476.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25-edge-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S25 Ultra,EIP,1299.99,250.0,29.17,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25-ultra/,High
2026-08-18,Samsung,Galaxy S25+,EIP,999.99,250.0,20.83,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25-plus/,High
2026-08-18,Samsung,Galaxy S25+ (Certified Pre-Owned),EIP,517.99,517.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $517.99. Online only. Save $517.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s25-plus-certified-pre-owned/,High
2026-08-18,Samsung,Galaxy S26,EIP,899.99,900.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $900. Save $900.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s26/,High
2026-08-18,Samsung,Galaxy S26 Ultra,EIP,1299.99,1119.99,5.0,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $1119.99. Save $1119.99.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s26-ultra/,High
2026-08-18,Samsung,Galaxy S26+,EIP,1099.99,1100.0,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $1100. Save $1100.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-s26-plus/,High
2026-08-18,Samsung,Galaxy Z Flip3 5G,EIP,999.99,250.0,20.83,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-z-flip3-5g/,High
2026-08-18,Samsung,Galaxy Z Flip5,EIP,999.99,250.0,20.83,,,False,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5 Save up to $250 on a Pixel Watch 5,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-z-flip5/,High
2026-08-18,Samsung,Galaxy Z Flip6 (Certified Pre-Owned),EIP,380.99,380.99,0.0,,,True,False,False,Eligible unlimited plan,Offer-dependent,False,False,,36,Save $380.99. Online only. Save $380.99. Online only.,https://www.verizon.com/smartphones/smartphones/samsung-galaxy-z-flip6-certified-pre-owned/,High
